,Movie,Release_date,Language,Runtime,Budget,Revenue,Unnamed: 0_x,Name,Genre,Rating,Votes,BoxOffice,Year,Unnamed: 0_y,meter_score,audience_score
0,the avengers,"May  4, 2012", English,2h 23m,"$220,000,000.00","$1,519,557,910.00",0,The Avengers,"Action, Adventure, Sci-Fi",8.1,1134273,"623,357,910",2012,0,,
1,snow white and the huntsman,"June  1, 2012", English,2h 7m,"$170,000,000.00","$396,600,000.00",16,Snow White and the Huntsman,"Action, Adventure, Drama",6.1,253972,"155,332,381",2012,16,48,52%
2,the hobbit: an unexpected journey,"December 14, 2012", English,2h 49m,"$250,000,000.00","$1,021,103,568.00",4,The Hobbit: An Unexpected Journey,"Adventure, Family, Fantasy",7.9,705872,"303,003,568",2012,4,92,86%
3,brave,"June 22, 2012", English,1h 33m,"$185,000,000.00","$538,983,207.00",7,Brave,"Animation, Adventure, Comedy",7.1,324942,"237,283,207",2012,7,92,86%
4,the dark knight rises,"July 20, 2012", English,2h 45m,"$250,000,000.00","$1,084,939,099.00",1,The Dark Knight Rises,"Action, Thriller",8.4,1343225,"448,139,099",2012,1,87,90%
5,django unchained,"December 11, 2012", English,2h 45m,"$100,000,000.00","$425,368,238.00",14,Django Unchained,"Drama, Western",8.4,1164954,"162,805,434",2012,14,,83%
6,the amazing spider-man,"July  4, 2012", English,2h 16m,"$215,000,000.00","$752,215,857.00",6,The Amazing Spider-Man,"Action, Adventure, Sci-Fi",7,511325,"262,030,663",2012,6,92,86%
7,skyfall,"November  9, 2012", English,2h 23m,"$200,000,000.00","$1,108,561,013.00",3,Skyfall,"Action, Adventure, Thriller",7.8,580191,"304,360,277",2012,3,92,86%
8,sexual chronicles of a french family,"June  1, 2012", French,1h 21m,,,,,,,,,,2684,0,26%
9,the lorax,"March  1, 2012", English,1h 26m,"$70,000,000.00","$348,840,316.00",10,The Lorax,"Animation, Adventure, Comedy",6.4,87926,"214,030,500",2012,10,,83%
10,hotel transylvania,"September 28, 2012", English,1h 31m,"$85,000,000.00","$358,375,603.00",18,Hotel Transylvania,"Animation, Comedy, Family",7.1,197900,"148,313,048",2012,18,44,72%
11,wreck-it ralph,"November  2, 2012", English,1h 48m,"$165,000,000.00","$471,222,889.00",11,Wreck-It Ralph,"Animation, Adventure, Comedy",7.7,322733,"189,422,889",2012,11,,83%
12,ice age: continental drift,"July 13, 2012", English,1h 28m,"$95,000,000.00","$877,244,782.00",15,Ice Age: Continental Drift,"Animation, Adventure, Comedy",6.6,168956,"161,321,843",2012,15,,83%
13,mirror mirror,"March 30, 2012", English,1h 46m,"$85,000,000.00","$183,018,522.00",48,Mirror Mirror,"Adventure, Comedy, Drama",5.6,77835,"64,935,167",2012,48,,28%
14,the twilight saga: breaking dawn - part 2,"November 16, 2012", English,1h 55m,"$120,000,000.00","$829,000,000.00",5,The Twilight Saga: Breaking Dawn - Part 2,"Adventure, Drama, Fantasy",5.5,208987,"292,298,923",2012,5,92,86%
15,i want you,"June 22, 2012", Castilian,1h 15m,,,,,,,,,,2690,,66%
16,argo,"October 12, 2012", English,2h 0m,"$44,500,000.00","$232,324,128.00",21,Argo,"Biography, Drama, Thriller",7.7,521869,"136,025,503",2012,21,22,53%
17,prometheus,"June  8, 2012", English,2h 4m,"$130,000,000.00","$403,170,142.00",23,Prometheus,"Adventure, Mystery, Sci-Fi",7,527789,"126,477,084",2012,23,,
18,wrong turn 5: bloodlines,"October 23, 2012", English,1h 31m,,,,,,,,,,2686,0,26%
19,rise of the guardians,"November 21, 2012", English,1h 37m,"$145,000,000.00","$306,941,670.00",30,Rise of the Guardians,"Animation, Adventure, Family",7.3,141120,"103,412,758",2012,30,74,80%
20,madagascar 3: europe's most wanted,"June  8, 2012", English,1h 33m,"$145,000,000.00","$746,921,274.00",9,Madagascar 3: Europe's Most Wanted,"Animation, Adventure, Comedy",6.9,140245,"216,391,482",2012,9,92,86%
21,madagascar 3: europe's most wanted,"June  8, 2012", English,1h 33m,"$145,000,000.00","$746,921,274.00",9,Madagascar 3: Europe's Most Wanted,"Animation, Adventure, Comedy",6.9,140245,"216,391,482",2012,9,92,86%
22,the hunger games,"March 23, 2012", English,2h 22m,"$75,000,000.00","$691,210,692.00",2,The Hunger Games,"Adventure, Sci-Fi, Thriller",7.2,779338,"408,010,692",2012,2,84,81%
23,men in black 3,"May 25, 2012", English,1h 46m,"$225,000,000.00","$624,026,776.00",13,Men in Black 3,"Action, Adventure, Comedy",6.8,299169,"179,020,854",2012,13,,83%
24,life of pi,"November 21, 2012", English,2h 7m,"$120,000,000.00","$609,016,565.00",26,Life of Pi,"Adventure, Drama, Fantasy",7.9,516627,"124,987,023",2012,26,87,84%
25,silver linings playbook,"December 25, 2012", English,2h 2m,"$21,000,000.00","$236,412,453.00",22,Silver Linings Playbook,"Comedy, Drama, Romance",7.7,605890,"132,092,958",2012,22,92,86%
26,21 jump street,"March 12, 2012", English,1h 49m,"$42,000,000.00","$201,585,328.00",20,21 Jump Street,"Action, Comedy, Crime",7.2,465840,"138,447,667",2012,20,22,53%
27,the bourne legacy,"August 10, 2012", English,2h 15m,"$130,000,000.00","$276,572,938.00",28,The Bourne Legacy,"Action, Adventure, Thriller",6.7,262668,"113,203,870",2012,28,56,58%
28,christmas crush,"November 17, 2012", English,1h 28m,,,,,,,,,,2687,0,26%
29,the expendables 2,"August 17, 2012", English,1h 43m,"$100,000,000.00","$312,573,423.00",35,The Expendables 2,"Action, Adventure, Thriller",6.6,272253,"85,017,401",2012,35,67,67%
30,jack reacher,"December 21, 2012", English,2h 10m,"$60,000,000.00","$218,340,595.00",37,Jack Reacher,"Action, Crime, Thriller",7,276430,"80,070,736",2012,37,63,67%
31,the perks of being a wallflower,"September 21, 2012", English,1h 43m,"$13,000,000.00","$33,400,000.00",103,The Perks of Being a Wallflower,"Drama, Romance",8,412159,"17,738,570",2012,103,85,89%
32,the cabin in the woods,"March  9, 2012", English,1h 35m,"$30,000,000.00","$70,742,948.00",73,The Cabin in the Woods,"Comedy, Horror",7,327924,"42,073,277",2012,73,91,74%
33,ted,"June 29, 2012", English,1h 46m,"$50,000,000.00","$549,368,315.00",8,Ted,"Comedy, Fantasy, Romance",6.9,526499,"218,815,487",2012,8,92,86%
34,looper,"September 28, 2012", English,1h 58m,"$30,000,000.00","$47,042,000.00",44,Looper,"Action, Crime, Drama",7.4,487961,"66,486,205",2012,44,93,82%
35,safe,"April 16, 2012", English,1h 34m,"$30,000,000.00","$40,346,186.00",106,Safe,"Action, Crime, Thriller",6.5,94154,"17,142,080",2012,106,85,76%
36,step up revolution,"July 27, 2012", English,1h 39m,"$33,000,000.00","$140,470,746.00",84,Step Up Revolution,"Drama, Music, Romance",6.5,50384,"35,074,677",2012,84,43,68%
37,the grey,"December 11, 2011", English,1h 57m,"$25,000,000.00","$77,278,331.00",,,,,,,,2700,,82%
38,silent hill: revelation 3d,"October 26, 2012", English,1h 34m,"$20,000,000.00","$52,302,796.00",,,,,,,,2685,0,26%
39,battleship,"May 18, 2012", English,2h 11m,"$209,000,000.00","$303,025,485.00",46,Battleship,"Action, Adventure, Sci-Fi",5.8,222172,"65,422,625",2012,46,34,54%
40,pitch perfect,"September 28, 2012", English,1h 52m,"$17,000,000.00","$115,350,426.00",47,Pitch Perfect,"Comedy, Music, Romance",7.2,248205,"65,001,093",2012,47,80,83%
41,burning bright,"August 17, 2010", English,1h 29m,,,,,,,,,,2699,,82%
42,burning bright,"August 17, 2010", English,1h 29m,,,,,,,,,,2699,,82%
43,american reunion,"April  6, 2012", English,1h 53m,"$50,000,000.00","$234,989,584.00",55,American Reunion,Comedy,6.7,188517,"57,011,521",2012,55,80,
44,underworld: awakening,"January 19, 2012", English,1h 28m,"$70,000,000.00","$160,112,671.00",,,,,,,,2691,,66%
45,flight,"November  2, 2012", English,2h 18m,"$31,000,000.00","$161,772,375.00",32,Flight,"Drama, Thriller",7.3,295493,"93,772,375",2012,32,91,80%
46,lawless,"August 29, 2012", English,1h 55m,"$26,000,000.00","$53,676,580.00",78,Lawless,"Crime, Drama",7.3,209673,"37,400,127",2012,78,85,86%
47,safe house,"February 10, 2012", English,1h 55m,"$85,000,000.00","$208,076,205.00",24,Safe House,"Action, Adventure, Crime",6.8,187570,"126,373,434",2012,24,,
48,john carter,"February 22, 2012", English,2h 12m,"$260,000,000.00","$284,139,100.00",40,John Carter,"Action, Adventure, Sci-Fi",6.6,234290,"73,078,100",2012,40,51,60%
49,the dictator,"May 16, 2012", English,1h 23m,"$65,000,000.00","$179,379,533.00",53,The Dictator,Comedy,6.4,244204,"59,650,222",2012,53,21,67%
50,chronicle,"February  2, 2012", English,1h 24m,"$15,000,000.00","$145,000,000.00",49,Chronicle,"Drama, Sci-Fi, Thriller",7.1,225488,"64,575,175",2012,49,86,71%
51,the scorpion king 3: battle for redemption,"January 17, 2012", English,1h 46m,"$5,000,000.00",,,,,,,,,2694,58,78%
52,cloud atlas,"October 26, 2012", English,2h 52m,"$102,000,000.00","$130,482,868.00",90,Cloud Atlas,"Action, Drama, Mystery",7.5,320156,"27,108,272",2012,90,66,66%
53,total recall,"August  3, 2012", English,2h 1m,"$125,000,000.00","$198,802,074.00",54,Total Recall,"Action, Adventure, Mystery",6.3,224146,"58,877,969",2012,54,82,78%
54,seeking a friend for the end of the world,"June 22, 2012", English,1h 41m,"$10,000,000.00","$9,636,289.00",131,Seeking a Friend for the End of the World,"Adventure, Comedy, Drama",6.7,100275,"6,619,173",2012,131,55,53%
55,zero dark thirty,"December 19, 2012", English,2h 37m,"$40,000,000.00","$132,820,716.00",31,Zero Dark Thirty,"Drama, Thriller",7.4,244119,"95,720,716",2012,31,91,80%
56,tutto tutto niente niente,"November 30, 2012", Italian,,"$5,579,750.00","$8,927,600.00",,,,,,,,2688,0,26%
57,the vow,"February 10, 2012", English,1h 44m,"$30,000,000.00","$196,114,570.00",25,The Vow,"Drama, Romance",6.8,169103,"125,014,030",2012,25,,
58,this means war,"February 17, 2012", English,1h 43m,"$65,000,000.00","$156,974,557.00",57,This Means War,"Action, Comedy, Romance",6.3,164494,"54,760,791",2012,57,25,56%
59,paranorman,"August 17, 2012", English,1h 30m,"$60,000,000.00","$107,139,399.00",56,ParaNorman,"Animation, Adventure, Comedy",7,84770,"56,003,051",2012,56,88,72%
60,my way,"April 16, 2012", French,2h 28m,"$27,563,396.00","$29,193,330.00",,,,,,,,2711,,75%
61,wolf children,"July 21, 2012", Japanese,1h 57m,,,,,,,,,,2718,94,92%
62,dredd,"September 21, 2012", English,1h 35m,"$50,000,000.00","$41,037,742.00",116,Dredd,"Action, Crime, Sci-Fi",7.1,229885,"13,414,714",2012,116,78,72%
63,dredd,"September 21, 2012", English,1h 35m,"$50,000,000.00","$41,037,742.00",116,Dredd,"Action, Crime, Sci-Fi",7.1,229885,"13,414,714",2012,116,78,72%
64,secret of the wings,"August 31, 2012", English,1h 32m,,,,,,,,,,2693,58,78%
65,alex cross,"October 18, 2012", English,1h 41m,"$45,000,000.00","$30,353,232.00",92,Alex Cross,"Action, Crime, Mystery",5.1,30530,"25,888,412",2012,92,12,47%
66,ruby sparks,"July 25, 2012", English,1h 44m,,"$9,128,263.00",156,Ruby Sparks,"Comedy, Drama, Fantasy",7.2,89438,"2,540,106",2012,156,79,75%
67,an american girl: mckenna shoots for the stars,"July 14, 2012", English,1h 25m,,,,,,,,,,2705,82,70%
68,the five-year engagement,"April 27, 2012", English,2h 4m,"$30,000,000.00","$53,909,751.00",89,The Five-Year Engagement,"Comedy, Romance",6.2,86366,"28,835,528",2012,89,11,41%
69,magic mike,"June 29, 2012", English,1h 50m,"$7,000,000.00","$167,221,571.00",27,Magic Mike,"Comedy, Drama",6.1,121262,"113,721,571",2012,27,80,60%
70,stuck in love,"July  5, 2013", English,1h 37m,,"$81,071.00",289,Stuck in Love,"Comedy, Drama, Romance",7.3,77307,"78,950",2012,289,58,68%
71,the impossible,"December  4, 2012", English,1h 53m,"$42,000,000.00","$180,274,123.00",98,The Impossible,"Drama, History, Thriller",7.6,171905,"19,019,882",2012,98,75,64%
72,fire with fire,"August 31, 2012", English,1h 37m,"$20,000,000.00","$4,636,169.00",,,,,,,,2695,,82%
73,fire with fire,"August 31, 2012", English,1h 37m,"$20,000,000.00","$4,636,169.00",,,,,,,,2696,,82%
74,people like us,"June 29, 2012", English,1h 54m,"$16,000,000.00","$12,434,778.00",121,People Like Us,"Comedy, Drama",7.1,38912,"12,412,386",2012,121,,
75,the master,"September 14, 2012", English,2h 17m,"$32,000,000.00","$28,258,060.00",108,The Master,Drama,7.1,126437,"16,377,274",2012,108,45,40%
76,the first time,"October 19, 2012", English,1h 35m,,"$22,836.00",350,The First Time,"Comedy, Drama, Romance",6.9,61164,"17,061",2012,350,,48%
77,journey 2: the mysterious island,"February 10, 2012", English,1h 34m,"$79,000,000.00","$355,692,760.00",29,Journey 2: The Mysterious Island,"Action, Adventure, Comedy",5.8,80640,"103,860,290",2012,29,56,58%
78,lol,"May  4, 2012", English,1h 37m,"$11,000,000.00",,310,LOL,"Comedy, Drama, Romance",4.4,50381,"46,500",2012,310,100,33%
79,contraband,"January 13, 2012", English,1h 49m,"$25,000,000.00","$63,100,000.00",43,Contraband,"Action, Crime, Drama",6.5,109909,"66,528,000",2012,43,52,50%
80,"batman: the dark knight returns, part 1","September 25, 2012", English,1h 16m,"$3,500,000.00",,,,,,,,,2707,82,70%
81,the iceman,"September  1, 2012", English,1h 45m,"$20,000,000.00","$1,969,193.00",165,The Iceman,"Biography, Crime, Drama",6.9,63907,"1,939,441",2012,165,,93%
82,sinister,"March 11, 2012", English,1h 50m,"$3,000,000.00","$77,712,439.00",66,Sinister,"Horror, Mystery, Thriller",6.8,192044,"48,086,903",2012,66,,17%
83,what to expect when you're expecting,"May 18, 2012", English,1h 50m,"$40,000,000.00","$79,700,000.00",74,What to Expect When You're Expecting,"Comedy, Drama, Romance",5.7,64448,"41,152,203",2012,74,91,74%
84,the possession,"August 31, 2012", English,1h 32m,"$14,000,000.00","$85,446,075.00",64,The Possession,"Horror, Mystery, Thriller",5.9,52712,"49,130,154",2012,64,40,48%
85,the possession,"August 31, 2012", English,1h 32m,"$14,000,000.00","$85,446,075.00",64,The Possession,"Horror, Mystery, Thriller",5.9,52712,"49,130,154",2012,64,40,48%
86,red dawn,"November 21, 2012", English,1h 33m,"$65,000,000.00","$44,806,783.00",70,Red Dawn,"Action, Sci-Fi, Thriller",5.4,68418,"44,806,783",2012,70,40,65%
87,robot & frank,"January 20, 2012", English,1h 25m,"$2,500,000.00","$3,325,038.00",147,Robot & Frank,"Comedy, Crime, Drama",7.1,58231,"3,325,638",2012,147,,
88,taken 2,"October  4, 2012", English,1h 31m,"$45,000,000.00","$376,141,306.00",19,Taken 2,"Action, Crime, Thriller",6.3,267022,"139,854,287",2012,19,22,53%
89,wrath of the titans,"March 29, 2012", English,1h 39m,"$150,000,000.00","$301,000,000.00",36,Wrath of the Titans,"Action, Adventure, Fantasy",5.7,168784,"83,670,083",2012,36,,40%
90,no,"February 15, 2013", Castilian,1h 58m,,"$2,341,226.00",160,No,Drama,7.4,21072,"2,343,664",2012,160,73,49%
91,rock of ages,"June 15, 2012", English,2h 3m,"$75,000,000.00","$59,418,613.00",76,Rock of Ages,"Comedy, Drama, Musical",5.9,68609,"38,518,613",2012,76,85,86%
92,one piece film z,"December 15, 2012", Japanese,1h 48m,,,,,,,,,,2708,,75%
93,dark shadows,"May 11, 2012", English,1h 53m,"$150,000,000.00","$245,527,149.00",38,Dark Shadows,"Comedy, Fantasy, Horror",6.2,224069,"79,727,149",2012,38,36,46%
94,the snow queen,"December 31, 2012", Russian,1h 16m,"$7,000,000.00","$12,400,000.00",,,,,,,,2702,,82%
95,stolen,"September 14, 2012", English,1h 36m,"$35,000,000.00","$2,106,557.00",231,Stolen,"Action, Crime, Drama",5.5,40671,"304,318",2012,231,68,47%
96,end of watch,"September 21, 2012", English,1h 49m,"$7,000,000.00","$48,126,384.00",75,End of Watch,"Action, Crime, Drama",7.6,206833,"41,003,371",2012,75,85,86%
97,hit & run,"August 22, 2012", English,1h 40m,"$2,000,000.00","$14,400,000.00",,,,,,,,2732,21,41%
98,gone,"February 24, 2012", English,1h 34m,,"$18,100,189.00",122,Gone,"Action, Adventure, Drama",5.9,38681,"11,653,123",2012,122,,
99,starship troopers: invasion,"August 28, 2012", English,1h 29m,,,,,,,,,,2697,,82%
100,playing for keeps,"December  7, 2012", English,1h 46m,"$35,000,000.00",,117,Playing for Keeps,"Comedy, Romance, Sport",5.7,26914,"13,101,142",2012,117,,58%
101,the hunt,"December 20, 2012", Danish,1h 56m,"$3,800,000.00","$18,309,793.00",,,,,,,,2698,,82%
102,killing them softly,"November 30, 2012", English,1h 37m,"$15,000,000.00","$37,930,465.00",111,Killing Them Softly,"Crime, Thriller",6.2,122333,"15,026,056",2012,111,74,44%
103,the pirates! in an adventure with scientists!,"April 27, 2012", English,1h 28m,"$60,000,000.00","$118,338,361.00",,,,,,,,2701,,82%
104,cockneys vs zombies,"August  2, 2013", English,1h 28m,,,,,,,,,,2738,75,45%
105,man on a ledge,"January 27, 2012", English,1h 42m,"$42,000,000.00","$46,221,189.00",99,Man on a Ledge,"Action, Adventure, Crime",6.6,135641,"18,620,000",2012,99,32,52%
106,man on a ledge,"January 27, 2012", English,1h 42m,"$42,000,000.00","$46,221,189.00",99,Man on a Ledge,"Action, Adventure, Crime",6.6,135641,"18,620,000",2012,99,32,52%
107,the woman in black,"February  3, 2012", English,1h 35m,"$17,000,000.00","$127,730,736.00",59,The Woman in Black,"Drama, Fantasy, Horror",6.4,162032,"54,333,290",2012,59,,67%
108,ernest & celestine,"February 28, 2014", French,1h 18m,"$12,516,654.00","$8,109,160.00",232,Ernest & Celestine,"Animation, Adventure, Comedy",7.9,15390,"292,562",2012,232,68,47%
109,beasts of the southern wild,"June 29, 2012", English,1h 33m,"$1,800,000.00","$21,107,746.00",119,Beasts of the Southern Wild,"Adventure, Drama, Fantasy",7.3,76419,"12,795,746",2012,119,86,76%
110,this is 40,"December 21, 2012", English,2h 14m,"$35,000,000.00","$88,058,786.00",42,This Is 40,"Comedy, Romance",6.2,116274,"67,544,505",2012,42,52,50%
111,berserk: the golden age arc 1 - the egg of the king,"February  3, 2012", Japanese,1h 16m,,,,,,,,,,2719,94,92%
112,house with a nice view,"October 25, 2012", Korean,1h 32m,,,,,,,,,,2720,94,92%
113,iron sky,"March 10, 2012", English,1h 33m,"$7,500,000.00","$8,135,031.00",,,,,,,,2692,37,37%
114,resident evil: damnation,"September 25, 2012", English,1h 40m,,,,,,,,,,2743,,29%
115,savages,"July  6, 2012", English,2h 11m,"$45,000,000.00","$82,966,152.00",67,Savages,"Crime, Drama, Thriller",6.5,113391,"47,382,068",2012,67,89,74%
116,diary of a wimpy kid: dog days,"August  3, 2012", English,1h 34m,"$10,000,000.00",,65,Diary of a Wimpy Kid: Dog Days,"Comedy, Family",6.3,18902,"49,008,662",2012,65,40,48%
117,here comes the boom,"October 12, 2012", English,1h 45m,,"$73,100,172.00",69,Here Comes the Boom,"Action, Comedy, Sport",6.4,80632,"45,290,318",2012,69,40,65%
118,seven psychopaths,"October 12, 2012", English,1h 50m,"$15,000,000.00","$33,035,736.00",112,Seven Psychopaths,"Comedy, Crime",7.2,217466,"15,024,049",2012,112,82,71%
119,the suicide shop,"September 26, 2012", French,1h 20m,,,,,,,,,,2715,82,61%
120,abraham lincoln: vampire hunter,"June 22, 2012", English,1h 34m,"$69,000,000.00","$37,519,974.00",77,Abraham Lincoln: Vampire Hunter,"Action, Fantasy, Horror",5.9,140550,"37,519,139",2012,77,85,86%
121,red lights,"July 12, 2012", English,1h 59m,"$14,000,000.00","$13,551,174.00",307,Red Lights,"Drama, Fantasy, Horror",6.2,54269,"52,624",2012,307,83,64%
122,the raven,"April 27, 2012", English,1h 51m,"$26,000,000.00","$29,657,751.00",109,The Raven,"Crime, Mystery, Thriller",6.4,78706,"16,008,272",2012,109,,41%
123,upside down,"March 14, 2013", English,1h 44m,"$60,000,000.00","$8,106,475.00",276,Upside Down,"Drama, Fantasy, Romance",6.4,65143,"102,118",2012,276,,
124,lockout,"April 13, 2012", English,1h 35m,"$20,000,000.00","$32,204,030.00",113,Lockout,"Action, Adventure, Sci-Fi",6.1,88410,"14,326,864",2012,113,,25%
125,rurouni kenshin,"December 14, 2012", Japanese,2h 14m,,"$61,700,000.00",,,,,,,,2754,74,59%
126,chernobyl diaries,"May 25, 2012", English,1h 28m,,"$18,112,929.00",102,Chernobyl Diaries,"Horror, Mystery, Thriller",5,58554,"18,119,640",2012,102,17,28%
127,chernobyl diaries,"May 25, 2012", English,1h 28m,,"$18,112,929.00",102,Chernobyl Diaries,"Horror, Mystery, Thriller",5,58554,"18,119,640",2012,102,17,28%
128,lincoln,"November 16, 2012", English,2h 29m,"$65,000,000.00","$275,293,450.00",12,Lincoln,"Biography, Drama, History",7.4,223754,"182,207,973",2012,12,,83%
129,to rome with love,"June 22, 2012", English,1h 51m,"$17,000,000.00","$73,244,881.00",107,To Rome with Love,"Comedy, Music, Romance",6.3,77921,"16,685,867",2012,107,45,40%
130,lightning strike,"December 13, 2012", Italian,,,,,,,,,,,2757,68,55%
131,aftershock,"May 10, 2013", Castilian,1h 29m,"$2,000,000.00","$58,510.00",317,Aftershock,"Action, Adventure, Horror",4.8,10126,"40,179",2012,317,37,24%
132,disconnect,"April 12, 2013", English,1h 55m,"$10,000,000.00","$3,428,048.00",128,Disconnect,"Drama, Thriller",7.5,68932,"7,435,950",2012,128,,92%
133,houba! on the trail of the marsupilami,"April  3, 2012", French,1h 45m,"$50,000,000.00","$48,600,000.00",,,,,,,,2771,65,35%
134,home alone: the holiday heist,"November 25, 2012", English,1h 27m,,,,,,,,,,2714,82,61%
135,justice league: doom,"February 28, 2012", English,1h 17m,,,,,,,,,,2713,82,61%
136,piranha 3dd,"June  1, 2012", English,1h 23m,"$5,000,000.00","$8,493,728.00",218,Piranha 3DD,"Comedy, Horror",3.7,36072,"376,512",2012,218,13,22%
137,frankenweenie,"September 20, 2012", English,1h 27m,"$39,000,000.00","$35,287,788.00",83,Frankenweenie,"Animation, Comedy, Family",7,86714,"35,291,068",2012,83,51,66%
138,[rec]³ genesis,"March  9, 2012", Castilian,1h 20m,,"$10,158,000.00",,,,,,,,2779,22,54%
139,rust and bone,"November 23, 2012", French,2h 3m,"$15,400,000.00","$25,762,027.00",163,Rust and Bone,"Drama, Romance",7.5,57468,"2,061,449",2012,163,81,80%
140,jan dara: the beginning,"November 27, 2016", Thai,2h 0m,,,,,,,,,,2724,94,92%
141,premium rush,"August 24, 2012", English,1h 31m,"$35,000,000.00","$31,083,599.00",96,Premium Rush,"Action, Crime, Thriller",6.5,103940,"20,275,446",2012,96,74,60%
142,universal soldier: day of reckoning,"November 30, 2012", English,1h 54m,"$11,500,000.00","$1,402,307.00",394,Universal Soldier: Day of Reckoning,"Action, Horror, Mystery",5,17856,"5,460",2012,394,8,36%
143,hope springs,"August  7, 2012", English,1h 40m,"$30,000,000.00","$114,281,051.00",50,Hope Springs,"Comedy, Drama, Romance",6.3,38039,"63,536,011",2012,50,23,26%
144,hitchcock,"November 23, 2012", English,1h 38m,,"$23,570,541.00",133,Hitchcock,"Biography, Drama",6.8,67058,"6,008,677",2012,133,61,60%
145,chasing mavericks,"October 26, 2012", English,1h 57m,,,134,Chasing Mavericks,"Biography, Drama, Sport",7.2,28498,"6,002,756",2012,134,32,70%
146,masquerade,"September 21, 2012", Korean,2h 11m,,,,,,,,,,2722,94,92%
147,get the gringo,"May  1, 2012", English,1h 35m,"$35,000,000.00",,,,,,,,,2689,81,68%
148,get the gringo,"May  1, 2012", English,1h 35m,"$35,000,000.00",,,,,,,,,2689,81,68%
149,about cherry,"September 21, 2012", English,1h 42m,"$2,500,000.00","$3,003.00",,,,,,,,2783,14,15%
150,anna karenina,"November 16, 2012", English,2h 10m,,"$68,929,150.00",118,Anna Karenina,"Drama, Romance",6.6,82593,"12,816,367",2012,118,,58%
151,the magic of belle isle,"July  6, 2012", English,1h 49m,,"$102,388.00",277,The Magic of Belle Isle,"Comedy, Drama",7,15829,"100,910",2012,277,30,62%
152,"farewell, my queen","July 13, 2012", French,1h 40m,,"$5,297,232.00",293,"Farewell, My Queen","Drama, History, Romance",6.3,7329,"72,100",2012,293,47,42%
153,40 days and nights,"December 15, 2012", English,1h 30m,,,,,,,,,,2789,6,49%
154,lore,"February  8, 2013", German,1h 48m,,,192,Lore,"Drama, History, Romance",7.1,13112,"968,879",2012,192,94,76%
155,cirque du soleil: worlds away,"December 21, 2012", English,1h 31m,,"$34,153,101.00",120,Cirque du Soleil: Worlds Away,Fantasy,6.8,7546,"12,495,865",2012,120,86,76%
156,the odd life of timothy green,"August 15, 2012", English,1h 45m,,"$51,854,875.00",62,The Odd Life of Timothy Green,"Comedy, Drama, Family",6.6,41937,"51,853,450",2012,62,35,67%
157,house at the end of the street,"September 21, 2012", English,1h 41m,"$6,900,000.00","$44,287,131.00",86,House at the End of the Street,"Drama, Horror, Thriller",5.6,65161,"31,611,916",2012,86,11,41%
158,the cold light of day,"September  6, 2012", English,1h 33m,"$20,000,000.00","$16,863,583.00",144,The Cold Light of Day,"Action, Thriller",4.9,32463,"3,749,061",2012,144,5,29%
159,the body,"November 12, 2012", Castilian,1h 48m,,,,,,,,,,2728,21,41%
160,trouble with the curve,"September 21, 2012", English,1h 51m,,,81,Trouble with the Curve,"Drama, Sport",6.8,54560,"35,763,137",2012,81,51,66%
161,a thousand words,"March  8, 2012", English,1h 31m,"$40,000,000.00","$22,044,277.00",100,A Thousand Words,"Comedy, Drama",5.9,35329,"18,438,149",2012,100,0,47%
162,project x,"March  2, 2012", English,1h 28m,"$12,000,000.00","$100,000,000.00",58,Project X,Comedy,6.7,174176,"54,731,865",2012,58,,67%
163,360,"August  3, 2012", English,1h 50m,,"$1,663,931.00",,,,,,,,2729,21,41%
164,blue lagoon: the awakening,"June 16, 2012", English,1h 25m,,,,,,,,,,2731,21,41%
165,the factory,"October 19, 2012", English,1h 48m,"$25,000,000.00",,,,,,,,,2733,,41%
166,paperman,"November  2, 2012", English,0h 7m,,,,,,,,,,2795,,43%
167,"for a good time, call...","August 31, 2012", English,1h 25m,"$850,000.00","$1,243,961.00",178,"For a Good Time, Call...",Comedy,6,14801,"1,243,961",2012,178,77,70%
168,chained,"October  2, 2012", English,1h 34m,,,,,,,,,,2737,24,40%
169,chained,"October  2, 2012", English,1h 34m,,,,,,,,,,2737,24,40%
170,outrage beyond,"January  3, 2014", Japanese,1h 50m,,"$16,215,856.00",,,,,,,,2799,47,57%
171,"tad, the lost explorer","June 28, 2013", Castilian,1h 30m,"$10,500,000.00","$23,000,000.00",,,,,,,,2730,21,41%
172,after porn ends,"May 21, 2012", English,1h 30m,"$400,000.00",,,,,,,,,2742,,29%
173,amour,"December 19, 2012", French,2h 7m,"$8,900,000.00","$29,844,753.00",130,Amour,"Drama, Romance",7.9,82650,"6,739,492",2012,130,,92%
174,goon,"February 24, 2012", English,1h 32m,,"$6,483,963.00",,,,,,,,2704,82,70%
175,twice born,"December  5, 2013", Italian,2h 7m,"$13,000,000.00","$18,295.00",355,Twice Born,"Drama, Romance, War",7.4,14179,"14,947",2012,355,17,67%
176,maggie simpson in the longest daycare,"July 12, 2012", English,0h 5m,,,,,,,,,,2758,68,55%
177,the imposter,"July 13, 2012", English,1h 39m,,,,,,,,,,2706,82,70%
178,the watch,"July 27, 2012", English,1h 38m,"$68,000,000.00","$68,267,862.00",82,The Watch,"Action, Comedy, Horror",5.7,113998,"35,353,000",2012,82,51,66%
179,erased,"May 17, 2013", English,1h 40m,"$12,000,000.00",,,,,,,,,2709,,75%
